"loadboard","device_item_id","pin","temperature","tester_config","tester","tester_id","package"
"6513992A","V62130ARGTR-LY","16","25","ETM-4-64","TT5540","40","RGT"
"6578688B","D97374Q4M-LNKE","8","25","ETS-2-64","TT5560","60","DPC"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5583","83","RGE"
"ASM4198","NA826AIDRGR-RK","8","25","ETS-1-64","TT5504","04","DRG"
"6512615D","Q24727RGRR-G2K","20","25","ETS-2-64","TT5561","61","RGR"
"6518552B","53219RGTR1-G2K","16","25","ETS-2-64","TT5586","86","RGT"
"6516394A","PS54226RGTR1-L","16","25","ETS-2-64","TT5567","67","RGT"
"6547349B","S65175RSHR2-UN","56","25","ETS-2-64","TT5570","70","RSH"
"6554905A","PS74801DRCR2-B","10","25","ETS-2-64","TT5573","73","DRC"
"6514494A","S56121ADQPR1-C","22","25","ETS-2-64","TT5523","23","DQP"
"6505771B","TPS2557DRBR3-R","8","25","ETS-2-64","TT5581","81","DRB"
"6505771B","TPS2557DRBR3-R","8","25","ETS-0-64","TT5503","03","DRB"
"6547137A","D3211A1RGPR-G2","20","25","ETM-4-64","TT5546","46","DSG"
"6555551A","7A8300RGWR-G2K","20","25","ETS-0-64","TT5505","05","RGW"
"6517950B","AC7562SDSCR-UC","10","10","ETS-INAM-64","TT5510","10","DSC"
"6547349B","S65175RSHR2-UN","56","25","ETS-2-64","TT5557","57","RSH"
