"loadboard","device_item_id","pin","temperature","tester_config","tester","tester_id","package"
"6505620C","PS2561DRCR1-G2","10","25","ETS-INA-64","TT5501","01","DRC"
"","58872Q5D7-NS2Y","8","25","ETS-200FT","TT5594","94","DQY"
"6541231B","Q24736RGRR-G2K","20","25","ETS-S-64","TT5512","12","RGR"
"6547181A","2592ZADRCR-G2K","10","25","ETS-2-64","TT5564","64","DRC"
"6511094C","CC24610DRBR-GK","8","25","ETS-1-64","TT5513","13","DRB"
"6569306A","65633AKRTER-G2","16","25","ETS-2-64","TT5567","67","RTE"
"6554905A","PS74801DRCR1-B","10","25","ETS-2-64","TT5579","79","DRC"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5511","11","RGE"
"6494708A","TPS2590RSAR-G2","16","25","ETS-1-64","TT5571","71","RSA"
"6523177B","SD97370Q5M2-LN","22","25","ETS-2-64","TT5506","06","DQP"
"6590151A","25810RVCR1-G2P","20","25","ETM-5-128","TT5552","52","RVC"
"6578688B","D97374Q4M-LNKE","8","25","ETS-2-64","TT5542","42","DPC"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5574","74","RGE"
"","S61093DSKR-G2K","10","25","ETS-2-64","TT5570","70","DSK"
"6575577B","S62134ARGTR1-L","16","25","ETS-2-64","TT5530","30","RGT"
"6484140A","Q24075RGTR-G2Y","16","25","ETS-0-64","TT5503","03","RGT"
"6520958B","PS53317RGBR-G2","20","25","ETS-2-64","TT5563","63","RGB"
"6568521A","PS65261RHBR-G2","32","25","ETS-2-64","TT5551","51","RHB"
"6487925B","PS54821RHLR2-R","14","25","ETS-INA-64","TT5528","28","RHL"
"6487925B","N1109048RHLR-L","14","25","ETS-2-64","TT5514","14","RGY"
"6546767B","CD3211A1RGPR-L","20","25","ETM-4-64","TT5546","46","RGP"
"6555613B","A8001DRBR1-G2K","8","25","ETM-5-128","TT5554","54","DRB"
"6548880A","A8001DRBR1-G2K","8","25","ETS-2-64","TT5576","76","DPJ"
"6525585A","BQ24196RGER-RY","24","25","ETS-2-64","TT5545","45","RGE"
"6487925B","S54620RGYR1-G2","14","25","ETS-1-64","TT5502","02","RHL"
"6570166B","202027LRSLR-G2","48","25","ETM-5-128","TT5553","53","RSL"
"6527607B","V62090RGTR1-G2","16","85","ETS-2-64","TT5565","65","RGT"
"6487839B","51980ARTVR-G2K","32","25","ETS-2-64","TT5548","48","RTV"
"6487839B","51980ARTVR-G2K","32","25","ETS-S-64","TT5519","19","RTV"
"6498316A","S51220ARSNR-LK","32","25","ETS-2M-64","TT5580","80","RSN"
"6498316A","S51220ARSNR-LK","32","25","ETS-2-64","TT5533","33","RSN"
"6484527A","S650240RHBR1-R","32","85","ETS-2-64","TT5577","77","RHB"
"6512615D","Q24725ARGRR-LK","20","25","ETS-2-64","TT5561","61","RGR"
"6512615D","Q24725ARGRR-LK","20","25","ETS-2-64","TT5518","18","RGR"
"6522212C","PS54218RTER3-C","16","25","ETS-2M-64","TT5535","35","RTE"
"6516230D","S51200DRCR-G2Y","10","25","ETS-0-64","TT5505","05","DRC"
"6525585A","Q24296MRGER-G2","24","25","ETS-2-64","TT5534","34","RGE"
"ASM4198","NA826AIDRGR-RK","8","25","ETS-INAM-64","TT5516","16","DRG"
"","CSD17576Q5B1-N","8","25","ETS-200FT","TT5555","55","DNK"
"6517950B","AC7562SDSCR-UC","10","10","ETS-INAM-64","TT5510","10","DSC"
"6556725A","Q24250RGER-G2Y","24","25","ETS-2-64","TT5547","47","RGE"
"6522167C","PS53319DQPR-LN","22","25","ETS-2-64","TT5527","27","DQP"
"6547349B","S65175RSHR2-UN","56","25","ETS-2-64","TT5569","69","RSH"
"6503050A","PS65148CRHBR-U","32","85","ETS-INA-64","TT5521","21","RHB"
