"loadboard","device_item_id","pin","temperature","tester_config","tester","tester_id","package"
"6571495A","BQ24777RUYR-G2","28","25","ETS-2-64","TT5575","75","RUY"
"6578688B","D97374Q4M-LNKE","8","25","ETS-2-64","TT5542","42","DPC"
"6519267C","AFE031AIRGZR-C","48","25","ETS-2-64","TT5544","44","RGZ"
"6543758C","PS53513RVER-LN","28","25","ETS-2-64","TT5566","66","RVE"
"6487925B","PS54821RHLR2-R","14","25","ETS-2-64","TT5514","14","RGY"
"6487925B","PS54821RHLR2-R","14","25","ETS-1-64","TT5502","02","RHL"
"6487925B","S54620RGYR1-G2","14","25","ETS-0-64","TT5517","17","RHL"
"6555613B","A8001DRBR1-G2K","8","25","ETS-2-64","TT5557","57","DRB"
"6547181A","2592ZADRCR-G2K","10","25","ETS-2-64","TT5564","64","DRC"
"6504079A","PS61161DRVR-LK","6","25","ETS-2-64","TT5573","73","DRV"
"6498316A","S51220ARSNR-LK","32","25","ETS-2M-64","TT5580","80","RSN"
"6553444B","S54428DRCR-G2Y","10","25","ETS-2-128","TT5537","37","DRC"
"6525585A","BQ24195RGER-RY","24","25","ETS-2-64","TT5545","45","RGE"
"6525585A","BQ24195RGER-RY","24","25","ETS-2-64","TT5534","34","RGE"
"6525585A","BQ24195RGER-RY","24","25","ETS-2-64","TT5574","74","RGE"
"6525585A","BQ24195RGER-RY","24","25","ETS-2-64","TT5525","25","RGE"
"6487925B","S54620RGYR1-G2","14","25","ETS-INA-64","TT5528","28","RHL"
"6487925B","S54620RGYR1-G2","14","25","ETS-INA-64","TT5582","82","RGY"
"6568521A","PS65261RHBR-G2","32","25","ETS-2-64","TT5551","51","RHB"
"6487839B","51980ARTVR-G2K","32","25","ETS-S-64","TT5519","19","RTV"
"6487839B","51980ARTVR-G2K","32","25","ETS-2-64","TT5548","48","RTV"
"6527607B","V62090RGTR1-G2","16","85","ETS-2-64","TT5565","65","RGT"
"6516230D","S51200DRCR-G2Y","10","25","ETS-0-64","TT5505","05","DRC"
"6523177B","SD97370Q5M2-LN","22","25","ETS-2-64","TT5506","06","DQP"
"6508600B","TPS61183RTJR-R","20","85","ETS-0-64","TT5509","09","RTJ"
"6520958B","TPS53317RGBR-L","20","25","ETS-2-64","TT5563","63","RGB"
"6492420C","PS54218RTER3-C","16","25","ETS-2M-64","TT5535","35","RTE"
"6489159B","NA826AIDRGR-RK","8","25","ETS-INAM-64","TT5516","16","DRB"
"","86330Q3D1-GS2Y","8","25","ETS-200FT","TT5593","93","DQZ"
"6547181A","2592BADRCR-G2K","10","25","ETS-S-64","TT5520","20","DRC"
"6512615D","24725ARGRR-G2K","20","25","ETS-2-64","TT5518","18","RGR"
"6512615D","24735RGRR1-G2K","20","25","ETS-2-64","TT5561","61","RGR"
"6481275B","TPS40193DRCR-B","10","25","ETM-4-64","TT5587","87","DRC"
"6556725A","Q24250RGER-G2Y","24","25","ETS-2-64","TT5547","47","RGE"
"","CSD17576Q5B1-N","8","25","ETS-200FT","TT5555","55","DNK"
"6513992A","S62130DRGTR-LY","16","25","ETM-4-64","TT5540","40","RGT"
"6570166B","202027LRSLR-G2","48","25","ETM-5-128","TT5553","53","RSL"
"6522167C","PS53319DQPR-LN","22","25","ETS-2-64","TT5527","27","DQP"
"6554905A","PS74801DRCR1-B","10","25","ETS-2-64","TT5579","79","DRC"
"6525230A","TPS2553DRVR-L","6","25","ETS-2-128","TT5532","32","DRV"
"6517950B","AC7562SDSCR-UC","10","10","ETS-INAM-64","TT5510","10","DSC"
"6547349B","S65175RSHR2-UN","56","25","ETS-2-64","TT5569","69","RSH"
